Sun              0.66 -26.78   25.38 1a  27.37 1b  -6.23 1.09
HD 82106   12.68 1.00   7.22   13.30  6  28.30 10  -4.64 0.91
HD 82558   18.34 0.91   7.8     1.70  2  29.50  2  -3.50 0.93
HD 82885   11.18 0.77   5.41   18.60  6  28.38  9  -5.10 1.05
HD 95650   11.66 1.47   9.5     2.94  2  28.50  2  -3.80 0.71
HD 95735    2.55 1.51   7.5    48.00  2  26.80  2  -5.12 0.60
HD 97334   21.72 0.60   6.4     7.60  2  29.10  2  -4.51 1.09
HD 98712   13.16 1.36   8.7    11.60  2  28.50  2  -4.08 0.79
HD 101501   9.54 0.74   5.3    16.00  2  28.20  2  -5.17 1.03
HD 102077  48.66 0.91   8.92    1.80  2  30.00  2  -3.40 1.02
HD 114613  20.48 0.70   4.85   33.00  6  28.36  9  -5.85 1.24
HD 114710   9.15 0.58   4.3    12.40  2  28.20  2  -5.50 1.12
HD 115383  17.95 0.58   5.2     3.30  2  29.10  2  -4.82 1.17
HD 115404  11.23 0.92   6.6    19.00  2  27.80  2  -5.25 0.94
HD 118100  19.79 1.18   9.3     3.96  2  29.20  2  -3.38 0.81
HD 128620   1.35 0.71  -0.01   29.00  6  27.34 10  -6.45 1.13
HD 128621   1.35 0.88   1.33   42.00  6  27.34 10  -5.97 1.00
HD 131156A  6.70 0.72   4.7     6.20  2  28.60  2  -4.70 1.01
HD 131977   5.91 1.11   5.74   44.60  6  27.54  9  -5.38 0.89
HD 136202  24.53 0.54   5.04   16.00  6  27.64  9  -6.61 1.27
HD 141004  11.75 0.60   4.4    18.00  2  27.70  2  -6.18 1.16
HD 147513  12.87 0.62   5.38    8.50  6  28.96  9  -4.61 1.08
HD 147584  12.11 0.55   4.91   13.00  6  29.11  9  -4.58 1.12
HD 149661   9.78 0.81   5.7    23.00  2  28.30  2  -4.96 0.99
HD 152391  16.94 0.75   6.6    11.10  2  28.70  2  -4.66 1.02
HD 154417  20.38 0.58   6.0     7.60  2  28.80  2  -4.91 1.12
HD 155885   5.98 0.86   5.33   21.11  6  28.28  9  -4.71 0.93
HD 155886   5.46 0.85   5.29   20.69  6  28.28  9  -4.65 0.91
HD 156026   5.97 1.16   6.3    18.00  2  27.50  2  -5.23 0.85
HD 160346  10.71 0.96   6.5    36.00  2  27.70  2  -5.36 0.94
HD 165185  17.37 0.62   5.95    5.90  6  29.17  9  -4.43 1.09
HD 165341   5.09 0.86   4.03   19.70  2  28.20  2  -5.18 1.02
HD 166620  11.10 0.87   6.37   42.00 11  26.92 12  -6.19 0.96
HD 176051  14.98 0.59   5.22   16.00  6  28.06  9  -5.70 1.13
HD 185144   5.77 0.79   4.70   29.00  6  27.61  9  -5.58 0.98
HD 187691  19.39 0.55   5.10   10.00  6  28.05  9  -5.97 1.20
HD 190007  13.11 1.12   7.5    29.30  2  27.90  2  -5.01 0.89
HD 190406  17.67 0.61   5.8    14.50  2  28.10  2  -5.58 1.11
HD 191408   6.05 0.87   5.31   45.00  6  26.60  7  -6.42 0.93
HD 194012  26.13 0.51   6.17    7.00  6  28.36  9  -5.49 1.16
HD 197481   9.94 1.44   8.6     4.85  2  29.40  2  -3.19 0.75
HD 201091   3.48 1.17   5.2    37.90  2  27.20  2  -5.51 0.84
HD 201092   3.50 1.37   6.0    48.00  2  27.20  2  -5.32 0.78
HD 206860  18.39 0.58   6.0     4.70  2  29.00  2  -4.62 1.10
HD 209100   3.63 1.06   4.69   22.00  6  27.20  9  -5.69 0.89
HD 216803   7.64 1.10   6.5    10.30  2  28.30  2  -4.54 0.87
HD 219834B 20.8  0.91   7.6    42.00  2  27.70  2  -5.49 0.97
HD 224930  12.40 0.67   5.75   33.00  6  27.51  9  -5.90 1.04
